INFO [2020-11-17 17:32:00] Chain: 2, Iteration: 1000
INFO [2020-11-17 17:32:00] Chain: 5, Iteration: 1000
INFO [2020-11-17 17:32:00] Chain: 3, Iteration: 1000
INFO [2020-11-17 17:32:00] Chain: 1, Iteration: 1000
INFO [2020-11-17 17:32:00] Chain: 4, Iteration: 1000
INFO [2020-11-17 17:32:01] Chain: 2, Iteration: 2000
INFO [2020-11-17 17:32:01] Chain: 5, Iteration: 2000
INFO [2020-11-17 17:32:01] Chain: 3, Iteration: 2000
INFO [2020-11-17 17:32:01] Chain: 4, Iteration: 2000
INFO [2020-11-17 17:32:01] Chain: 1, Iteration: 2000
INFO [2020-11-17 17:32:02] Chain: 2, Iteration: 3000
INFO [2020-11-17 17:32:02] Chain: 5, Iteration: 3000
INFO [2020-11-17 17:32:02] Chain: 4, Iteration: 3000
INFO [2020-11-17 17:32:02] Chain: 3, Iteration: 3000
INFO [2020-11-17 17:32:02] Chain: 1, Iteration: 3000
INFO [2020-11-17 17:32:03] Chain: 2, Iteration: 4000
INFO [2020-11-17 17:32:03] Chain: 5, Iteration: 4000
INFO [2020-11-17 17:32:03] Chain: 4, Iteration: 4000
INFO [2020-11-17 17:32:03] Chain: 3, Iteration: 4000
INFO [2020-11-17 17:32:03] Chain: 1, Iteration: 4000
INFO [2020-11-17 17:32:04] Chain: 2, Iteration: 5000
INFO [2020-11-17 17:32:04] Chain: 5, Iteration: 5000
INFO [2020-11-17 17:32:04] Chain: 4, Iteration: 5000
INFO [2020-11-17 17:32:04] Chain: 3, Iteration: 5000
INFO [2020-11-17 17:32:04] Chain: 1, Iteration: 5000
INFO [2020-11-17 17:32:05] Chain: 2, Iteration: 6000
INFO [2020-11-17 17:32:05] Chain: 5, Iteration: 6000
INFO [2020-11-17 17:32:05] Chain: 4, Iteration: 6000
INFO [2020-11-17 17:32:05] Chain: 3, Iteration: 6000
INFO [2020-11-17 17:32:05] Chain: 1, Iteration: 6000
INFO [2020-11-17 17:32:06] Chain: 2, Iteration: 7000
INFO [2020-11-17 17:32:06] Chain: 5, Iteration: 7000
INFO [2020-11-17 17:32:06] Chain: 4, Iteration: 7000
INFO [2020-11-17 17:32:06] Chain: 3, Iteration: 7000
INFO [2020-11-17 17:32:06] Chain: 1, Iteration: 7000
INFO [2020-11-17 17:32:07] Chain: 2, Iteration: 8000
INFO [2020-11-17 17:32:07] Chain: 5, Iteration: 8000
INFO [2020-11-17 17:32:07] Chain: 4, Iteration: 8000
INFO [2020-11-17 17:32:07] Chain: 3, Iteration: 8000
INFO [2020-11-17 17:32:07] Chain: 1, Iteration: 8000
INFO [2020-11-17 17:32:08] Chain: 4, Iteration: 9000
INFO [2020-11-17 17:32:08] Chain: 2, Iteration: 9000
INFO [2020-11-17 17:32:08] Chain: 5, Iteration: 9000
INFO [2020-11-17 17:32:08] Chain: 3, Iteration: 9000
INFO [2020-11-17 17:32:08] Chain: 1, Iteration: 9000
INFO [2020-11-17 17:32:09] Chain: 4, Iteration: 10000
INFO [2020-11-17 17:32:09] Chain: 2, Iteration: 10000
INFO [2020-11-17 17:32:09] Chain: 5, Iteration: 10000
INFO [2020-11-17 17:32:09] Chain: 3, Iteration: 10000
INFO [2020-11-17 17:32:09] Chain: 1, Iteration: 10000
